algos,0,1,2,3,4,5,6,7
RF,0.21571428571428572,0.2804285714285714,0.3442857142857143,0.35528571428571426,0.41928571428571426,0.4572857142857143,0.49985714285714283,0.5295714285714286
resnet,0.145,0.136,0.20185714285714285,0.368,0.5005714285714286,0.6142857142857143,0.6995714285714286,0.7782857142857142
simpleCNN,0.15228571428571427,0.12071428571428572,0.216,0.30614285714285716,0.395,0.46914285714285714,0.5405714285714286,0.5954285714285714
2layercnn,0.13885714285714285,0.12157142857142857,0.119,0.152,0.22042857142857142,0.3057142857142857,0.42628571428571427,0.5432857142857143
5layercnn,0.188,0.13057142857142856,0.18085714285714286,0.3355714285714286,0.48914285714285716,0.5574285714285714,0.6348571428571429,0.7457142857142857
