algos,0,1,2,3,4,5,6,7
RF,0.39875,0.43475,0.508,0.5875,0.634,0.65675,0.696,0.71475
resnet,0.26325,0.276,0.403,0.59975,0.73625,0.8065,0.86575,0.89525
simpleCNN,0.245,0.239,0.376,0.49575,0.5915,0.6515,0.72,0.768
2layercnn,0.229,0.26475,0.2685,0.25325,0.3805,0.5195,0.6575,0.72125
5layercnn,0.2295,0.26825,0.39225,0.57175,0.6705,0.755,0.8,0.89275
