algos,0,1,2,3,4,5,6,7
RF,0.231,0.20185714285714285,0.28385714285714286,0.35328571428571426,0.4067142857142857,0.4417142857142857,0.47785714285714287,0.5118571428571429
resnet,0.16114285714285714,0.14257142857142857,0.1967142857142857,0.358,0.4992857142857143,0.5862857142857143,0.6628571428571428,0.7271428571428571
simpleCNN,0.1717142857142857,0.147,0.21285714285714286,0.2652857142857143,0.384,0.457,0.5037142857142857,0.5707142857142857
2layercnn,0.1402857142857143,0.169,0.12471428571428571,0.142,0.19814285714285715,0.2842857142857143,0.4307142857142857,0.5378571428571428
5layercnn,0.15,0.14871428571428572,0.19557142857142856,0.3442857142857143,0.4644285714285714,0.5145714285714286,0.611,0.6921428571428572
