algos,0,1,2,3,4,5,6,7
RF,0.2622,0.2936,0.4206,0.4738,0.5156,0.5738,0.6058,0.636
resnet,0.2218,0.1814,0.257,0.4852,0.6192,0.7148,0.7658,0.8258
simpleCNN,0.2022,0.1758,0.3024,0.3764,0.4978,0.5748,0.657,0.7012
2layercnn,0.2364,0.219,0.1632,0.2398,0.3704,0.4032,0.5206,0.6798
5layercnn,0.2002,0.1718,0.2204,0.4394,0.5926,0.643,0.7026,0.7936
