algos,0,1,2,3,4,5,6,7
RF,0.31,0.302,0.4136,0.455,0.5196,0.5618,0.5886,0.6134
resnet,0.1904,0.171,0.2996,0.4826,0.6064,0.6916,0.7474,0.809
simpleCNN,0.1914,0.1898,0.326,0.3824,0.492,0.5264,0.6354,0.6718
2layercnn,0.1366,0.1938,0.2086,0.2394,0.256,0.429,0.5124,0.646
5layercnn,0.2044,0.184,0.2838,0.4996,0.5722,0.6606,0.7096,0.782
