algos,0,1,2,3,4,5,6,7
RF,0.23183333333333334,0.22883333333333333,0.30633333333333335,0.414,0.4375,0.4815,0.5235,0.5435
resnet,0.16883333333333334,0.17716666666666667,0.24016666666666667,0.377,0.5148333333333334,0.6211666666666666,0.6955,0.7611666666666667
simpleCNN,0.16266666666666665,0.12466666666666666,0.25333333333333335,0.309,0.4,0.49,0.5536666666666666,0.6086666666666667
2layercnn,0.16016666666666668,0.16666666666666666,0.17116666666666666,0.18666666666666668,0.19583333333333333,0.3418333333333333,0.4665,0.5791666666666667
5layercnn,0.1605,0.169,0.22566666666666665,0.385,0.49066666666666664,0.5771666666666667,0.6443333333333333,0.6853333333333333
