algos,0,1,2,3,4,5,6,7
RF,0.6965,0.772,0.8165,0.827,0.8485,0.869,0.8845,0.8975
resnet,0.503,0.541,0.612,0.819,0.884,0.9315,0.96,0.9725
simpleCNN,0.4445,0.485,0.697,0.7945,0.842,0.853,0.8795,0.9225
2layercnn,0.5155,0.5,0.383,0.658,0.699,0.797,0.8735,0.917
5layercnn,0.4215,0.4905,0.7815,0.892,0.9185,0.9375,0.9565,0.964
