algos,0,1,2,3,4,5,6,7
RF,0.25366666666666665,0.29833333333333334,0.36383333333333334,0.39016666666666666,0.44266666666666665,0.4775,0.5046666666666667,0.535
resnet,0.19616666666666666,0.1625,0.20683333333333334,0.38466666666666666,0.5253333333333333,0.6098333333333333,0.6973333333333334,0.7693333333333333
simpleCNN,0.1685,0.14416666666666667,0.25466666666666665,0.348,0.419,0.4658333333333333,0.5416666666666666,0.5878333333333333
2layercnn,0.1605,0.1875,0.1835,0.238,0.29633333333333334,0.36283333333333334,0.4266666666666667,0.5586666666666666
5layercnn,0.158,0.156,0.233,0.37983333333333336,0.5103333333333333,0.5503333333333333,0.653,0.7191666666666666
