algos,0,1,2,3,4,5,6,7
RF,0.173,0.25566666666666665,0.31566666666666665,0.3935,0.421,0.4548333333333333,0.4865,0.5195
resnet,0.18233333333333332,0.1695,0.214,0.36666666666666664,0.5191666666666667,0.5871666666666666,0.6686666666666666,0.7218333333333333
simpleCNN,0.18783333333333332,0.17516666666666666,0.22083333333333333,0.3303333333333333,0.39,0.447,0.526,0.5626666666666666
2layercnn,0.16766666666666666,0.15716666666666668,0.16583333333333333,0.192,0.23916666666666667,0.3348333333333333,0.44683333333333336,0.5426666666666666
5layercnn,0.17133333333333334,0.17733333333333334,0.21233333333333335,0.389,0.4668333333333333,0.5258333333333334,0.6213333333333333,0.6483333333333333
