algos,0,1,2,3,4,5,6,7
RF,0.5835,0.5845,0.632,0.682,0.7055,0.7405,0.778,0.7975
resnet,0.486,0.4885,0.5745,0.6845,0.766,0.813,0.863,0.8925
simpleCNN,0.465,0.508,0.5385,0.6445,0.7095,0.751,0.792,0.8215
2layercnn,0.5,0.496,0.5,0.5925,0.6005,0.663,0.719,0.8
5layercnn,0.4955,0.4635,0.5965,0.681,0.705,0.7985,0.857,0.8935
