algos,0,1,2,3,4,5,6,7
RF,0.2704,0.2652,0.3742,0.4418,0.5164,0.5522,0.598,0.6186
resnet,0.215,0.1806,0.2826,0.4498,0.5988,0.7008,0.7694,0.8224
simpleCNN,0.2168,0.1822,0.2696,0.3836,0.4556,0.5794,0.657,0.695
2layercnn,0.1816,0.1902,0.1612,0.2342,0.2486,0.4094,0.5312,0.657
5layercnn,0.2122,0.2204,0.3082,0.406,0.5646,0.6734,0.7234,0.7788
