algos,0,1,2,3,4,5,6,7
RF,0.36125,0.4535,0.499,0.50875,0.57875,0.63425,0.656,0.68275
resnet,0.24475,0.26475,0.35,0.54925,0.645,0.73075,0.8145,0.84775
simpleCNN,0.219,0.255,0.355,0.444,0.5385,0.6305,0.697,0.73325
2layercnn,0.25525,0.2525,0.24075,0.29075,0.43525,0.49125,0.58825,0.72
5layercnn,0.25625,0.277,0.34975,0.561,0.63975,0.695,0.7315,0.812
