algos,0,1,2,3,4,5,6,7
RF,0.2242,0.2631,0.3001,0.3295,0.357,0.3756,0.4028,0.4189
resnet,0.1295,0.2232,0.3113,0.394,0.4749,0.5461,0.6121,0.6778
simpleCNN,0.1442,0.2017,0.258,0.3203,0.3493,0.3915,0.4333,0.4785
2layercnn,0.1179,0.1296,0.1036,0.1866,0.237,0.3114,0.3684,0.4213
5layercnn,0.1503,0.219,0.303,0.3712,0.4463,0.4648,0.5323,0.5938
