algos,0,1,2,3,4,5,6,7
RF,0.19028571428571428,0.21728571428571428,0.24542857142857144,0.36628571428571427,0.38242857142857145,0.4287142857142857,0.45585714285714285,0.48414285714285715
resnet,0.12871428571428573,0.15314285714285714,0.1997142857142857,0.31485714285714284,0.44685714285714284,0.5677142857142857,0.626,0.7157142857142857
simpleCNN,0.14114285714285715,0.11785714285714285,0.22414285714285714,0.29914285714285715,0.3452857142857143,0.417,0.478,0.5207142857142857
2layercnn,0.123,0.1482857142857143,0.142,0.17057142857142857,0.22942857142857143,0.3261428571428571,0.42028571428571426,0.49028571428571427
5layercnn,0.137,0.14914285714285713,0.17842857142857144,0.35742857142857143,0.44185714285714284,0.501,0.5495714285714286,0.631
