algos,0,1,2,3,4,5,6,7
RF,0.347,0.35425,0.50625,0.5345,0.58475,0.618,0.6465,0.6705
resnet,0.2685,0.25475,0.354,0.51275,0.6075,0.728,0.805,0.86225
simpleCNN,0.198,0.28075,0.3375,0.46425,0.55575,0.6055,0.68175,0.71
2layercnn,0.20175,0.24975,0.26775,0.34325,0.4265,0.49075,0.5975,0.7025
5layercnn,0.29225,0.25975,0.2985,0.572,0.6145,0.70175,0.764,0.8255
