algos,0,1,2,3,4,5,6,7
RF,0.538,0.5645,0.59875,0.615,0.6355,0.66775,0.67775,0.6955
resnet,0.87575,0.8755,0.882,0.88075,0.874,0.88525,0.878,0.877
simpleCNN,0.76675,0.7665,0.74975,0.75475,0.75175,0.76,0.76275,0.757
2layercnn,0.75625,0.73775,0.7575,0.75875,0.744,0.75825,0.76525,0.75625
5layercnn,0.83125,0.8335,0.83375,0.8375,0.80775,0.80925,0.842,0.8305
