algos,0,1,2,3,4,5,6,7
RF,0.4612,0.527,0.5268,0.5726,0.5836,0.5982,0.623,0.6466
resnet,0.5294,0.6152,0.6598,0.6998,0.7604,0.7902,0.8236,0.8586
simpleCNN,0.4404,0.489,0.5344,0.5786,0.6276,0.6616,0.6872,0.7194
2layercnn,0.2916,0.2238,0.4116,0.461,0.5274,0.6142,0.6652,0.7214
5layercnn,0.5086,0.5332,0.613,0.678,0.722,0.7456,0.7858,0.8232
