algos,0,1,2,3,4,5
RF,0.6336,0.7155000000000001,0.7485999999999999,0.7797,0.8034000000000001,0.8188000000000001
resnet,0.7769,0.8544,0.9064,0.9389,0.9546,0.9678
cnn32,0.4735,0.491,0.485,0.541,0.5945,0.6085
cnn32_2_layer,0.4915,0.488,0.5115,0.553,0.601,0.632
