algos,0,1,2,3,4,5
RF,0.6336,0.7155000000000001,0.7485999999999999,0.7797,0.8034000000000001,0.8188000000000001
resnet,0.7769,0.8544,0.9064,0.9389,0.9546,0.9678
cnn32,0.47,0.4815,0.4895,0.553,0.598,0.638
cnn32_2_layer,0.431,0.482,0.496,0.574,0.619,0.663
