algos,0,1,2,3,4,5
RF,0.6772,0.7231,0.7475,0.78,0.8032,0.8264999999999999
resnet,0.8078000000000001,0.867,0.8978999999999999,0.9296,0.9559000000000001,0.9688000000000001
