algos,0,1,2,3,4,5
RF,0.6131,0.7313,0.7535999999999999,0.7741999999999999,0.7987,0.8140000000000001
resnet,0.7104000000000001,0.8596999999999999,0.8958,0.9375,0.9532,0.968
