algos,0,1,2,3,4,5
RF,0.7125,0.7303999999999999,0.7554000000000001,0.775,0.7987,0.8186
resnet,0.8128,0.8644000000000001,0.9016,0.9343999999999999,0.9542999999999999,0.968
