algos,0,1,2,3,4,5
RF,0.6419,0.7249999999999999,0.7474,0.7791,0.7985,0.8192999999999999
resnet,0.7633,0.8609,0.8803000000000001,0.9389999999999998,0.9611000000000001,0.9689
