algos,0,1,2,3,4,5
RF,0.6336,0.7155000000000001,0.7485999999999999,0.7797,0.8034000000000001,0.8188000000000001
resnet,0.7769,0.8544,0.9064,0.9389,0.9546,0.9678
cnn32,0.4755,0.4875,0.4955,0.543,0.5955,0.6055
cnn32_2_layer,0.462,0.487,0.5155,0.549,0.599,0.624
