algos,0,1,2,3,4,5
RF,0.6823,0.7259,0.7346999999999999,0.7811,0.8046000000000001,0.8202
resnet,0.7735000000000001,0.8440000000000001,0.8926000000000001,0.9280999999999999,0.9560000000000001,0.9685
